Var1,Var2,Var3,Var4
1.14939841323927e-10,1.32048880603248e-18,1.72411679103014e-09,347.878378062138
0.00635751088396327,8.13914215115758e-11,0.0953644060185005,347.878378062138
0.0127150216529867,4.05422824168502e-10,0.190730553063552,347.878378062138
0.0190725324220101,1.21169324905982e-09,0.286098442842722,347.878378062138
0.0254300431910336,2.4756815749265e-09,0.381467552526354,347.878378062138
0.037497412254756,7.71103851403411e-09,0.562494714085126,347.878378062138
0.0566199086760265,3.12560970565181e-08,0.849371064892306,347.878378062138
0.0867154092886255,1.50534918812266e-07,1.30089657894619,347.878378062138
0.126744299150036,6.2380013976738e-07,1.90151402076123,347.878378062138
0.166773189011446,1.71533851936062e-06,2.50220038120765,347.878378062138
0.206802078872857,3.80222715796135e-06,3.10295550218032,347.878378062138
0.246830968734267,7.34208197790285e-06,3.70377911493422,347.878378062138
0.286859858595678,1.28629386588788e-05,4.30467085143659,347.878378062138
0.326888748457088,2.09546425443109e-05,4.90563023242072,347.878378062138
0.366917638318499,3.22613295414048e-05,5.50665665429566,347.878378062138
0.418995758215263,5.30479420602559e-05,6.28869901328206,347.878378062138
0.481753360989199,8.93982942920435e-05,7.23125802977012,347.878378062138
0.544510963763134,0.000140797282890083,8.17397255953048,347.878378062137
0.620085628426919,0.000227526104101629,9.30941704550725,347.878378062138
0.695660293090703,0.00034660147043571,10.4450679886802,347.878378062138
0.792488143119645,0.00055703544259803,11.9003658654153,347.878378062138
0.91029150388383,0.000918567636728933,13.6712943857471,347.878378062138
1.02809486464802,0.00141716365484911,15.4425697978536,347.878378062138
1.1794571759233,0.00230188147547129,17.7187931954337,347.878378062138
1.37004762761647,0.00388263649626415,20.5851998162146,347.878378062138
1.60484367331989,0.00668962182894766,24.116141640716,347.878378062138
1.89680387897369,0.0117767931107995,28.5047095192415,347.878378062138
