Var1,Var2,Var3
6.941214747509e-12,6.35834937760939e-18,1.04123329908923e-10
0.00178646878198102,1.95859221736049e-09,0.0267992366359639
0.00357293755702083,9.63609578842036e-09,0.0536006771989909
0.00535940633206064,2.84496513712627e-08,0.0804043200952735
0.00714587510710044,5.77302856770935e-08,0.107209503668916
0.0103911522007876,1.68332465292429e-07,0.155908587542908
0.0164312630392291,7.83641430000792e-07,0.246566153192175
0.0242043288511371,3.02345953642466e-06,0.363269924135712
0.0319773946630451,7.95468672030506e-06,0.480013020616085
0.0397504604749531,1.70038896907746e-05,0.596793361146232
0.0475235262868612,3.17722545918522e-05,0.713607883530021
0.0552965920987692,5.39696282097539e-05,0.830452566671189
0.0630696579106772,8.53692773161078e-05,0.947322423302979
0.0733738515394794,0.000144588265854818,1.10227559252882
0.0861693427971175,0.000251926138157166,1.29471158692802
0.0989648340547556,0.000403660529204168,1.48713561866798
0.11594658191649,0.000688474688995665,1.74241282737636
0.139279383085613,0.001266670803981,2.09275825984276
0.171471699471288,0.00249684693335899,2.57473319774292
0.216144245940997,0.00522517794185985,3.23899654917365
0.27729172923933,0.0113233504453461,4.13438079390597
0.338439212537664,0.0206235525031062,5.00712479574754
0.399586695835997,0.0336190864677439,5.84922692150238
0.460734179134331,0.0507122725537808,6.65295005064932
0.521881662432664,0.07220850314343,7.4112264269499
0.583029145730998,0.0983189316582995,8.11789246890217
0.644176629029331,0.129164952141104,8.76782845222104
0.705324112327665,0.164783900463135,9.35703417482681
0.766471595625998,0.2051370409869,9.88265241580846
0.844532670088081,0.263335247898111,10.458573582487
0.922593744550164,0.328726320671347,10.9272651720037
1.02550802033499,0.425111118111003,11.3842262847338
1.15261203487413,0.558423552107225,11.7089755874344
1.27971604941327,0.705193030382717,11.7913195285486
1.40682006395241,0.862485480054683,11.6638221551942
1.53392407849154,1.02718597244507,11.3654558082336
1.66102809303068,1.19621830027555,10.9388476918923
1.78813210756982,1.36672086419155,10.4274600741817
1.91523612210896,1.53617644129894,9.87303774878777
2.0423401366481,1.70249992608613,9.31352096303225
2.16944415118723,1.8640882076569,8.78149905072175
2.29654816572637,2.01983607247876,8.30320674389455
2.42365218026551,2.16912252108016,7.89802831318111
2.55075619480465,2.31177264271195,7.57845475384475
2.67786020934379,2.44800074708931,7.35042604992207
2.80496422388292,2.57834064632147,7.21398152660132
2.93206823842206,2.70356881682848,7.16413661240694
3.09753057611958,2.8606587726721,7.21176715832657
3.2629929138171,3.01295890607436,7.36325931551652
3.42845525151462,3.16268658844832,7.58832811349948
3.59391758921215,3.31188660940653,7.85568353716519
3.75937992690967,3.46227088310718,8.13604594491313
3.92484226460719,3.61512539055744,8.40440941686647
4.09030460230471,3.77127421783164,8.64149359385471
4.25576694000223,3.93109184490842,8.83440745908189
4.42122927769975,4.09455338668467,8.97661478325946
4.58669161539727,4.2613112175666,9.06733602386443
4.80415556463402,4.48437459375723,9.11685751270731
5.0833855686232,4.77479133067519,9.09383834623962
